City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port alfred,-33.5906,26.891,70.18,91,100,1.99,ZA,1675807397
1,peniche,39.3558,-9.3811,49.44,76,4,7.11,PT,1675807397
2,belaya gora,68.5333,146.4167,-46.5,100,96,2.57,RU,1675807182
3,safford,32.834,-109.7076,58.75,24,75,8.01,US,1675807405
4,chuy,-33.6971,-53.4616,75.85,66,0,10.78,UY,1675807406
5,mataura,-46.1927,168.8643,52.48,83,87,9.78,NZ,1675807406
6,busselton,-33.65,115.3333,62.69,84,27,9.62,AU,1675807406
7,madera,37.1666,-119.8343,62.76,84,74,3.27,US,1675807393
8,mar del plata,-38.0023,-57.5575,75.22,88,40,18.01,AR,1675807118
9,ponta do sol,32.6667,-17.1,60.01,63,13,4.54,PT,1675807413
10,douchy-les-mines,50.3008,3.3927,37.99,66,94,5.32,FR,1675807416
11,cape town,-33.9258,18.4232,71.38,75,20,17.27,ZA,1675807420
12,alugan,12.2188,125.4808,79.0,76,100,12.77,PH,1675807421
13,namibe,-15.1961,12.1522,71.02,75,69,9.73,AO,1675807421
14,alofi,-19.0595,-169.9187,76.89,94,100,6.91,NU,1675807422
15,nanortalik,60.1432,-45.2371,5.4,68,41,22.88,GL,1675807423
16,longyearbyen,78.2186,15.6401,21.04,93,100,31.07,SJ,1675807423
17,klaksvik,62.2266,-6.589,47.32,86,100,53.24,FO,1675807353
18,wanning,18.8003,110.3967,71.28,93,17,3.24,CN,1675807424
19,butaritari,3.0707,172.7902,81.18,79,100,22.17,KI,1675807425
20,punta arenas,-53.15,-70.9167,60.91,59,75,14.97,CL,1675807425
21,turukhansk,65.8167,87.9833,3.7,96,100,6.51,RU,1675807426
22,los llanos de aridane,28.6585,-17.9182,56.95,85,75,13.8,ES,1675807426
23,fairbanks,64.8378,-147.7164,12.22,79,40,0.0,US,1675807426
24,neuquen,-38.9516,-68.0591,96.69,13,0,6.91,AR,1675807254
25,bluff,-46.6,168.3333,52.81,67,79,25.7,NZ,1675807260
26,albany,42.6001,-73.9662,38.68,47,100,7.0,US,1675807427
27,xining,36.6167,101.7667,26.35,88,100,1.54,CN,1675807213
28,anadyr,64.75,177.4833,-23.3,76,0,8.95,RU,1675807293
29,kapaa,22.0752,-159.319,80.92,83,40,11.5,US,1675807428
30,vestmanna,62.1564,-7.1664,45.52,81,100,37.98,FO,1675807428
31,atuona,-9.8,-139.0333,78.37,78,11,15.3,PF,1675807170
32,goma,-1.6792,29.2228,62.64,76,100,2.84,CD,1675807429
33,antofagasta,-23.65,-70.4,74.48,77,88,8.25,CL,1675807215
34,songea,-10.6833,35.65,64.96,91,100,1.88,TZ,1675807429
35,ivanava,52.1451,25.5365,27.75,93,100,6.64,BY,1675807430
36,hermanus,-34.4187,19.2345,68.81,80,62,12.73,ZA,1675807430
37,dharchula,29.85,80.5333,46.29,38,45,8.37,IN,1675807431
38,tuatapere,-46.1333,167.6833,53.02,71,67,14.56,NZ,1675807432
39,carnarvon,-24.8667,113.6333,76.37,68,0,18.5,AU,1675807432
40,georgetown,5.4112,100.3354,78.73,93,20,3.44,MY,1675807310
41,hobart,-42.8794,147.3294,58.86,65,75,10.36,AU,1675807233
42,bengkulu,-3.8004,102.2655,74.84,83,92,5.08,ID,1675807433
43,hot springs,34.5037,-93.0552,64.8,77,100,3.0,US,1675807232
44,talavera de la reina,39.9635,-4.8308,43.3,86,99,11.25,ES,1675807434
45,upernavik,72.7868,-56.1549,-19.37,97,83,2.98,GL,1675807434
46,oistins,13.0667,-59.5333,78.89,78,40,16.11,BB,1675807156
47,barrow,71.2906,-156.7887,-2.18,78,100,0.0,US,1675807435
48,hovd,48.0056,91.6419,0.1,77,22,1.74,MN,1675807435
49,khatanga,71.9667,102.5,-47.18,100,77,1.97,RU,1675807436
50,dingle,10.9995,122.6711,73.35,94,100,7.61,PH,1675807183
51,qaanaaq,77.484,-69.3632,-23.6,65,100,5.03,GL,1675807436
52,kavaratti,10.5669,72.642,79.81,71,96,13.02,IN,1675807437
53,hilo,19.7297,-155.09,73.13,96,100,3.0,US,1675807437
54,paraiso,9.8383,-83.8656,74.26,85,76,6.38,CR,1675807438
55,nizwa,22.9333,57.5333,69.66,35,19,2.17,OM,1675807438
56,san quintin,30.4833,-115.95,64.24,37,0,9.66,MX,1675807439
57,clarence town,-32.5833,151.7833,77.95,67,51,6.78,AU,1675807439
58,anloga,5.7947,0.8973,81.23,81,51,11.5,GH,1675807439
59,portland,45.5234,-122.6762,50.63,91,100,10.0,US,1675807319
60,japura,-0.3167,102.35,72.61,94,100,1.45,ID,1675807440
61,tuktoyaktuk,69.4541,-133.0374,-27.4,75,100,3.44,CA,1675807243
62,puerto ayora,-0.7393,-90.3518,85.96,91,28,8.99,EC,1675807340
63,ostrovnoy,68.0531,39.5131,34.02,75,80,25.08,RU,1675807440
64,wau,7.7029,27.9953,77.43,16,10,5.86,SS,1675807441
65,alyangula,-13.8483,136.4192,83.32,70,100,3.94,AU,1675807441
